iter	Passed	Remaining
412	3313	4709
413	3320	4700
414	3327	4690
415	3335	4682
416	3342	4673
417	3349	4664
418	3356	4654
419	3363	4645
420	3371	4636
421	3377	4626
422	3384	4616
423	3392	4608
424	3401	4602
425	3410	4595
426	3417	4586
427	3425	4577
428	3433	4570
429	3441	4561
430	3447	4551
431	3453	4541
432	3460	4531
433	3467	4521
434	3474	4512
435	3480	4502
436	3487	4493
437	3494	4483
438	3501	4474
439	3508	4465
440	3515	4455
441	3521	4445
442	3529	4437
443	3536	4428
444	3544	4420
445	3550	4410
446	3559	4403
447	3567	4395
448	3575	4387
449	3583	4379
450	3591	4371
451	3600	4364
452	3611	4360
453	3618	4351
454	3626	4344
455	3633	4335
456	3642	4328
457	3651	4320
458	3661	4316
459	3668	4306
460	3677	4300
461	3684	4291
462	3691	4281
463	3699	4274
464	3710	4269
465	3718	4260
466	3728	4255
467	3736	4247
468	3746	4242
469	3756	4236
470	3764	4227
471	3774	4222
472	3782	4214
473	3792	4208
474	3803	4203
475	3811	4196
476	3823	4191
477	3833	4186
478	3841	4178
479	3851	4172
480	3862	4167
481	3874	4164
482	3889	4162
483	3917	4176
484	3936	4179
485	3952	4180
486	3966	4178
487	3976	4172
488	3985	4164
489	4004	4168
490	4016	4164
491	4024	4154
492	4031	4146
493	4040	4138
494	4050	4132
495	4058	4123
496	4066	4115
497	4073	4106
498	4081	4097
499	4088	4088
500	4097	4080
501	4104	4071
502	4111	4062
503	4119	4053
504	4125	4043
505	4132	4034
506	4140	4026
507	4149	4018
508	4156	4009
509	4163	4000
510	4171	3992
511	4180	3984
512	4187	3974
513	4194	3966
514	4202	3957
515	4209	3948
516	4217	3939
517	4224	3931
518	4232	3922
519	4239	3913
520	4246	3904
521	4254	3895
522	4264	3889
523	4273	3881
524	4282	3874
525	4290	3866
526	4298	3858
527	4306	3849
528	4314	3841
529	4320	3831
530	4329	3823
531	4336	3814
532	4344	3806
533	4352	3798
534	4360	3789
535	4367	3780
536	4374	3772
537	4381	3762
538	4389	3753
539	4396	3744
540	4403	3736
541	4411	3727
542	4418	3718
543	4427	3711
544	4434	3701
545	4442	3694
546	4449	3685
547	4458	3677
548	4465	3668
549	4474	3661
550	4481	3652
551	4490	3644
552	4497	3635
553	4505	3627
554	4512	3617
555	4518	3608
556	4526	3599
557	4532	3590
558	4540	3582
559	4547	3572
560	4555	3565
561	4563	3556
562	4572	3549
563	4580	3540
564	4588	3532
565	4596	3524
566	4604	3516
567	4612	3507
568	4619	3499
569	4627	3490
570	4636	3483
571	4643	3474
