iter	RMSE
0	19.96008599
1	19.43873592
2	18.96570385
3	18.53755022
4	18.15231342
5	17.78949537
6	17.47299451
7	17.16603902
8	16.89073357
9	16.64374479
10	16.41604728
11	16.21772932
12	16.03797948
13	15.86054475
14	15.70892514
15	15.56802969
16	15.43447311
17	15.31763753
18	15.19890098
19	15.1059344
20	15.01688761
21	14.93936396
22	14.86248194
23	14.79628259
24	14.73075652
25	14.67236563
26	14.61697929
27	14.57388453
28	14.53419166
29	14.48889922
30	14.44748981
31	14.40592114
32	14.36903848
33	14.33741734
34	14.31087275
35	14.28699056
36	14.26125656
37	14.23993308
38	14.21574688
39	14.1956371
40	14.17675261
41	14.15898621
42	14.14249829
43	14.11955042
44	14.10545769
45	14.08765466
46	14.07303998
47	14.05897719
48	14.04241289
49	14.03081762
50	14.01824298
51	14.00410968
52	13.99597804
53	13.98681788
54	13.97983708
55	13.96757385
56	13.95917524
57	13.94980294
58	13.94194075
59	13.93575224
60	13.92750832
61	13.92039915
62	13.91053778
63	13.90076045
64	13.89100709
65	13.88379658
66	13.8773993
67	13.8682776
68	13.86251828
69	13.85754164
70	13.85063062
71	13.84452977
72	13.83957518
73	13.83564498
74	13.83205654
75	13.82550799
76	13.82311693
77	13.81773255
78	13.81419545
79	13.80990409
80	13.80733587
81	13.8034069
82	13.79947122
83	13.79332225
84	13.79117808
85	13.78712984
86	13.78476023
87	13.78101488
88	13.77652752
89	13.77266588
90	13.76980026
91	13.76505539
92	13.76167808
93	13.75439931
94	13.75058364
95	13.74832443
96	13.74570899
97	13.7430173
98	13.73939739
99	13.73557524
100	13.73291651
101	13.72984658
102	13.72730279
103	13.72525787
104	13.7212393
105	13.7181904
106	13.71545079
107	13.71301053
108	13.71116948
109	13.70622073
110	13.70318639
111	13.69949682
112	13.69741267
113	13.69582566
114	13.69425165
115	13.6912548
116	13.68919953
117	13.68502624
118	13.6828682
119	13.6809552
120	13.67605091
121	13.67385274
122	13.67235873
123	13.66957912
124	13.6669628
125	13.66369836
126	13.66121764
127	13.65891164
128	13.65534886
129	13.65361655
130	13.65161021
131	13.64823959
132	13.64628398
133	13.64290518
134	13.6412466
135	13.63903702
136	13.63603608
137	13.63339974
138	13.63049932
139	13.62700276
140	13.62234086
141	13.61902201
142	13.61737007
143	13.61455098
144	13.61120877
145	13.60950622
146	13.60635623
147	13.60376969
148	13.60230985
149	13.59992079
150	13.59545428
151	13.59328035
152	13.58788301
153	13.58516958
154	13.5818042
155	13.57810197
156	13.57502602
157	13.57153596
158	13.56915918
159	13.56700412
160	13.56469501
161	13.56147418
162	13.55923485
163	13.55664429
164	13.55137561
165	13.5495406
166	13.54713743
167	13.54363125
168	13.53787529
169	13.53589093
170	13.53387923
171	13.52930122
172	13.52759863
173	13.52551834
174	13.52398695
175	13.5233301
176	13.51974325
177	13.51878259
178	13.51451681
179	13.51077287
180	13.50717864
181	13.50343958
182	13.50105847
183	13.49559151
184	13.49236456
185	13.48888845
186	13.48758563
187	13.48564942
188	13.4832633
189	13.48121377
190	13.47925158
191	13.47629372
192	13.47310998
193	13.4692199
194	13.46875893
195	13.46590527
196	13.46359779
197	13.46053108
198	13.45876302
199	13.45318267
200	13.44982762
201	13.44751671
202	13.44390192
203	13.44362378
204	13.43997734
205	13.43625806
206	13.43511802
207	13.43290561
208	13.43105821
209	13.42890645
210	13.42531207
211	13.42501543
212	13.42185971
213	13.41874078
214	13.4157503
215	13.41559788
216	13.41449361
217	13.41044939
218	13.40674362
219	13.40526402
220	13.40192486
221	13.39969508
222	13.39684925
223	13.39485446
224	13.3922541
225	13.38836525
226	13.38680749
227	13.38650793
228	13.38290897
229	13.38074747
230	13.37828763
231	13.37469551
232	13.37442862
233	13.37179268
234	13.36884603
235	13.36639777
236	13.362484
237	13.35974634
238	13.35915894
239	13.35635827
240	13.35418294
241	13.35187181
242	13.34989915
243	13.34929702
244	13.34817112
245	13.34749264
246	13.34516085
247	13.34456336
248	13.3427104
249	13.340021
250	13.33651324
251	13.33334643
252	13.33138855
253	13.32872228
254	13.32841743
255	13.32584051
256	13.3236465
257	13.3207535
258	13.31800644
259	13.31589113
260	13.31270695
261	13.31136449
262	13.30831322
263	13.3054961
264	13.30401545
265	13.30201664
266	13.29802747
267	13.29788485
268	13.29494293
269	13.29255864
270	13.28983532
271	13.28701919
272	13.28373581
273	13.28121207
274	13.2795518
275	13.27943169
276	13.27732863
277	13.27604979
278	13.27391373
279	13.2711847
280	13.26820047
281	13.26539765
282	13.26518694
283	13.26136073
284	13.25948213
285	13.25842327
286	13.25626615
287	13.25485227
288	13.25238327
289	13.2522289
290	13.25210799
291	13.25026882
292	13.24986547
293	13.24738637
294	13.24582649
295	13.24476096
296	13.24147626
297	13.23861611
298	13.23703538
299	13.23323647
300	13.23314115
301	13.23063238
302	13.22923195
303	13.22810337
304	13.22563242
305	13.22400583
306	13.2224146
307	13.22224337
308	13.2210024
309	13.21957697
310	13.21751752
311	13.21539579
312	13.21273445
313	13.21002174
314	13.20733994
315	13.20588389
316	13.20373322
317	13.20357406
318	13.20119929
319	13.19970741
320	13.19886642
321	13.19791917
322	13.19650512
323	13.19637773
324	13.19346627
325	13.19108209
326	13.18921169
327	13.18614621
328	13.18495385
329	13.18229734
330	13.18012144
331	13.17864824
332	13.17736586
333	13.17721666
334	13.17442276
335	13.17284529
336	13.17126304
337	13.16966203
338	13.16953765
339	13.16769437
340	13.16600099
341	13.16309817
342	13.1609167
343	13.15786754
344	13.15589037
345	13.15423849
346	13.15310156
347	13.15103444
348	13.14954493
349	13.14830932
350	13.14693656
351	13.14681446
352	13.14482319
353	13.14338549
354	13.14208411
355	13.14154078
356	13.13821938
357	13.13633475
358	13.13523812
359	13.13333284
360	13.1303053
361	13.13012184
362	13.12994721
363	13.12858811
364	13.12783553
365	13.12615733
366	13.12229728
367	13.12058556
368	13.11970948
369	13.11676636
370	13.1145129
371	13.11250978
372	13.11069279
373	13.10788089
374	13.10642502
375	13.10591715
376	13.10409771
377	13.10272371
378	13.10092406
379	13.09889432
380	13.09716196
381	13.09563904
382	13.09408093
383	13.09216398
384	13.09135863
385	13.08995614
386	13.08983021
387	13.08693875
388	13.08595964
389	13.08404011
390	13.08388791
391	13.08315491
392	13.08091619
393	13.07960183
394	13.07840192
395	13.07666103
396	13.07502498
397	13.07330914
398	13.07133664
399	13.06927626
400	13.06876666
401	13.06734163
402	13.06590432
403	13.06572651
404	13.06450581
405	13.06242241
406	13.06177274
407	13.06101618
408	13.05893409
409	13.05760258
410	13.05376523
411	13.05312721
412	13.05307093
413	13.05068142
414	13.04938016
415	13.04780731
416	13.04615488
417	13.04345978
418	13.04202348
419	13.04001306
420	13.0383351
421	13.03717784
422	13.03486467
